2024-03-03 04:04:26;3;81;81;81;81;81;81;81;81;81;81;
2024-03-03 04:04:26;ht;64;23.30
2024-03-03 04:04:26;v;4.23
2024-03-03 04:34:27;1;75;75;75;75;75;75;75;75;75;75;
2024-03-03 04:34:27;2;59;59;59;59;59;59;59;59;59;59;
2024-03-03 04:34:27;3;67;67;67;67;67;67;67;67;67;67;
2024-03-03 04:34:27;ht;62;23.10
2024-03-03 04:34:27;v;4.24
2024-03-03 05:04:27;1;75;75;75;75;75;75;75;75;75;75;
2024-03-03 05:04:27;2;67;67;67;67;67;67;67;67;67;67;
2024-03-03 05:04:27;3;74;74;74;74;74;74;74;74;74;74;
2024-03-03 05:04:27;ht;55;23.10
2024-03-03 05:04:27;v;4.23
2024-03-03 05:34:23;1;71;71;71;71;71;71;71;71;71;71;
2024-03-03 05:34:23;2;60;60;60;60;60;60;60;60;60;60;
2024-03-03 05:34:23;3;76;76;76;76;76;76;76;76;76;76;
2024-03-03 05:34:23;ht;61;23.30
2024-03-03 05:34:23;v;4.24
2024-03-03 06:04:24;1;70;70;70;70;70;70;70;70;70;70;
2024-03-03 06:04:24;2;63;63;63;63;63;63;63;63;63;63;
2024-03-03 06:04:24;3;73;73;73;73;73;73;73;73;73;73;
2024-03-03 06:04:24;ht;83;23.40
2024-03-03 06:04:24;v;4.23
2024-03-03 06:34:25;1;74;74;74;74;74;74;74;74;74;74;
2024-03-03 06:34:25;2;57;57;57;57;57;57;57;57;57;57;
2024-03-03 06:34:25;3;73;73;73;73;73;73;73;73;73;73;
2024-03-03 06:34:25;ht;83;23.00
2024-03-03 06:34:25;v;4.24
2024-03-03 07:04:25;1;80;80;80;80;80;80;80;80;80;80;
2024-03-03 07:04:25;2;60;59;60;59;60;59;60;60;59;60;
2024-03-03 07:04:25;3;3;3;2;3;2;3;3;3;3;3;
2024-03-03 07:04:25;ht;74;23.00
2024-03-03 07:04:25;v;4.23
2024-03-03 07:34:26;1;73;73;73;73;73;73;73;73;73;73;
2024-03-03 07:34:26;2;55;55;55;55;55;55;55;55;55;55;
2024-03-03 07:34:26;3;72;72;72;72;72;72;72;72;72;72;
2024-03-03 07:34:26;ht;68;22.90
2024-03-03 07:34:26;v;4.23
2024-03-03 08:04:27;1;72;72;72;72;72;72;72;72;72;72;
2024-03-03 08:04:27;2;69;69;69;69;69;69;69;69;69;69;
2024-03-03 08:04:27;3;69;69;69;69;69;69;69;69;69;69;
2024-03-03 08:04:27;ht;88;22.10
2024-03-03 08:04:27;v;4.23
2024-03-03 08:34:27;1;71;71;71;71;71;71;71;71;71;71;
2024-03-03 08:34:27;2;55;55;55;55;55;55;55;55;55;55;
2024-03-03 08:34:27;3;69;69;69;69;69;69;69;69;69;69;
2024-03-03 08:34:27;ht;97;21.70
2024-03-03 08:34:27;v;4.23
2024-03-03 09:04:27;1;68;68;68;68;68;68;68;68;68;68;
2024-03-03 09:04:27;2;56;56;56;56;56;56;56;56;56;56;
2024-03-03 09:04:27;3;71;71;71;71;71;71;71;71;71;71;
